x1,y1,z1,x2,y2,y3,y4,y5,y6,y7
0.499636,0.49501,0.499772,0.495096,0.994646,0.994782,0.994868,0.994732,0.999408,0.990106
0.501713,0.499463,0.501896,0.499594,1.001176,1.001359,1.00149,1.001307,1.003609,0.999057
0.501229,0.499166,0.501397,0.499363,1.000395,1.000563,1.00076,1.000592,1.002626,0.998529
0.501713,0.499356,0.501947,0.499575,1.001069,1.001303,1.001522,1.001288,1.00366,0.998931
0.496723,0.494224,0.49712,0.494614,0.990947,0.991344,0.991734,0.991337,0.993843,0.988838
0.497085,0.495357,0.497465,0.495713,0.992442,0.992822,0.993178,0.992798,0.99455,0.99107
0.500918,0.498395,0.501245,0.498728,0.999313,0.99964,0.999973,0.999646,1.002163,0.997123
0.501679,0.499594,0.501817,0.499701,1.001273,1.001411,1.001518,1.00138,1.003496,0.999295
0.501541,0.499455,0.501713,0.499579,1.000996,1.001168,1.001292,1.00112,1.003254,0.999034
0.501193,0.498927,0.501452,0.499166,1.00012,1.000379,1.000618,1.000359,1.002645,0.998093
0.501038,0.499946,0.501205,0.50008,1.000984,1.001151,1.001285,1.001118,1.002243,1.000026
0.501645,0.499938,0.501702,0.499966,1.001583,1.00164,1.001668,1.001611,1.003347,0.999904
0.497016,0.494898,0.497267,0.495197,0.991914,0.992165,0.992464,0.992213,0.994283,0.990095
0.501468,0.499796,0.50157,0.499843,1.001264,1.001366,1.001413,1.001311,1.003038,0.999639
0.501637,0.499995,0.501652,0.500023,1.001632,1.001647,1.001675,1.00166,1.003289,1.000018
0.501635,0.500052,0.501675,0.500092,1.001687,1.001727,1.001767,1.001727,1.00331,1.000144
0.50244,0.500507,0.502723,0.500786,1.002947,1.00323,1.003509,1.003226,1.005163,1.001293
0.501038,0.499956,0.501205,0.500143,1.000994,1.001161,1.001348,1.001181,1.002243,1.000099
0.501405,0.499907,0.501505,0.499991,1.001312,1.001412,1.001496,1.001396,1.00291,0.999898
0.501646,0.499966,0.501665,0.499986,1.001612,1.001631,1.001651,1.001632,1.003311,0.999952
0.501675,0.5,0.501736,0.500101,1.001675,1.001736,1.001837,1.001776,1.003411,1.000101
0.501634,0.499965,0.501665,0.499976,1.001599,1.00163,1.001641,1.00161,1.003299,0.999941
0.501422,0.499991,0.501533,0.500154,1.001413,1.001524,1.001687,1.001576,1.002955,1.000145
0.501839,0.500466,0.502036,0.500695,1.002305,1.002502,1.002731,1.002534,1.003875,1.001161
0.501689,0.500212,0.501871,0.50038,1.001901,1.002083,1.002251,1.002069,1.00356,1.000592
0.500672,0.500073,0.500984,0.500322,1.000745,1.001057,1.001306,1.000994,1.001656,1.000395
0.502862,0.500843,0.50317,0.501182,1.003705,1.004013,1.004352,1.004044,1.006032,1.002025
0.501579,0.501144,0.501998,0.501603,1.002723,1.003142,1.003601,1.003182,1.003577,1.002747
0.501843,0.503407,0.502525,0.503976,1.00525,1.005932,1.006501,1.005819,1.004368,1.007383
0.501946,0.502182,0.502301,0.502842,1.004128,1.004483,1.005143,1.004788,1.004247,1.005024
0.500468,0.501829,0.500867,0.502323,1.002297,1.002696,1.00319,1.002791,1.001335,1.004152
